Question,Nationality,Gender,Rank,Percentage
They have a personality I like,French,Women,4,0.1
They have a personality I like,French,Women,5,0.04
They have a personality I like,French,Women,6,0.02
They have a sense of humour I like,French,Women,1,0.17
They have a sense of humour I like,French,Women,2,0.22
They have a sense of humour I like,French,Women,3,0.3
They have a sense of humour I like,French,Women,4,0.17
They have a sense of humour I like,French,Women,5,0.1
They have a sense of humour I like,French,Women,6,0.04
They are intelligent,French,Women,1,0.09
They are intelligent,French,Women,2,0.18
They are intelligent,French,Women,3,0.2
They are intelligent,French,Women,4,0.32
They are intelligent,French,Women,5,0.18
They are intelligent,French,Women,6,0.03
They have/make a decent amount of money,French,Women,1,0.01
They have/make a decent amount of money,French,Women,2,0.01
They have/make a decent amount of money,French,Women,3,0.04
